sku_id,outlet_id,week_date,units_sold
SKU-001,OUTLET-001,2021-05-02,15
SKU-001,OUTLET-001,2021-05-09,13
SKU-001,OUTLET-001,2021-05-16,12
SKU-001,OUTLET-001,2021-05-23,11
SKU-001,OUTLET-001,2021-05-30,16
SKU-001,OUTLET-001,2021-06-06,13
SKU-001,OUTLET-001,2021-06-13,11
SKU-001,OUTLET-001,2021-06-20,11
SKU-001,OUTLET-001,2021-06-27,12
SKU-001,OUTLET-001,2021-07-04,13
SKU-001,OUTLET-001,2021-07-11,15
SKU-001,OUTLET-001,2021-07-18,27
SKU-001,OUTLET-001,2021-07-25,12
SKU-001,OUTLET-001,2021-08-01,12
SKU-001,OUTLET-001,2021-08-08,11
SKU-001,OUTLET-001,2021-08-15,16
SKU-001,OUTLET-001,2021-08-22,14
SKU-001,OUTLET-001,2021-08-29,15
SKU-001,OUTLET-001,2021-09-05,13
SKU-001,OUTLET-001,2021-09-12,15
SKU-001,OUTLET-001,2021-09-19,12
SKU-001,OUTLET-001,2021-09-26,13
SKU-001,OUTLET-001,2021-10-03,0
SKU-001,OUTLET-001,2021-10-10,16
SKU-001,OUTLET-001,2021-10-17,15
SKU-001,OUTLET-001,2021-10-24,13
SKU-001,OUTLET-001,2021-10-31,13
SKU-001,OUTLET-001,2021-11-07,15
SKU-001,OUTLET-001,2021-11-14,15
SKU-001,OUTLET-001,2021-11-21,11
SKU-001,OUTLET-001,2021-11-28,13
SKU-001,OUTLET-001,2021-12-05,13
SKU-001,OUTLET-001,2021-12-12,13
SKU-001,OUTLET-001,2021-12-19,11
SKU-001,OUTLET-001,2021-12-26,13
SKU-001,OUTLET-001,2022-01-02,11
SKU-001,OUTLET-001,2022-01-09,13
SKU-001,OUTLET-001,2022-01-16,14
SKU-001,OUTLET-001,2022-01-23,14
SKU-001,OUTLET-001,2022-01-30,13
SKU-001,OUTLET-001,2022-02-06,14
SKU-001,OUTLET-001,2022-02-13,12
SKU-001,OUTLET-001,2022-02-20,15
SKU-001,OUTLET-001,2022-02-27,0
SKU-001,OUTLET-001,2022-03-06,14
SKU-001,OUTLET-001,2022-03-13,14
SKU-001,OUTLET-001,2022-03-20,12
SKU-001,OUTLET-001,2022-03-27,0
SKU-001,OUTLET-001,2022-04-03,12
SKU-001,OUTLET-001,2022-04-10,13
SKU-001,OUTLET-001,2022-04-17,14
SKU-001,OUTLET-001,2022-04-24,13
SKU-001,OUTLET-001,2022-05-01,16
SKU-001,OUTLET-001,2022-05-08,14
SKU-001,OUTLET-001,2022-05-15,11
SKU-001,OUTLET-001,2022-05-22,14
SKU-001,OUTLET-001,2022-05-29,14
SKU-001,OUTLET-001,2022-06-05,14
SKU-001,OUTLET-001,2022-06-12,15
SKU-001,OUTLET-001,2022-06-19,12
SKU-001,OUTLET-001,2022-06-26,15
SKU-001,OUTLET-001,2022-07-03,13
SKU-001,OUTLET-001,2022-07-10,14
SKU-001,OUTLET-001,2022-07-17,11
SKU-001,OUTLET-001,2022-07-24,15
SKU-001,OUTLET-001,2022-07-31,12
SKU-001,OUTLET-001,2022-08-07,11
SKU-001,OUTLET-001,2022-08-14,11
SKU-001,OUTLET-001,2022-08-21,14
